Country Name,Country Code,Series Name,Series Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,39120171.2468193,24540877.6041667,22399467.1052632,20853788.7115165,24369109.1415831,38523364.4859813,42463576.1589404,44781456.9536424,47911340.1834794,57829787.2340426,109503546.099291,127190757.959989,141882254.230178,141223029.383064,168514513.375071,189514434.244,215043969.849246,244396761.92334,284875809.039634,322417837.161971,356014932.136461,398988954.970263,450382327.952421,508223602.378929,540096397.621071,589239753.610875,624337145.284622,870031676.798793,897031250,1052121054.6875,1226829562.5,1163362437.5,1575200390.625,1868383460.9375,2271646187.5,2345294875,2588176054.6875,2774350240.04918,2886163997.20531,3295009237.50107,3697353039.20043,4129505319.12921,4409942623.85538,4816426256.52914,5404344162.69888,5726094799.37709,3712604583.36665,5252457369.55218,6177118113.94637,6590894301.9579
Maldives,MDV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.72815531465662,-7.98898069181058,0.59880238570986,11.2523540290922,14.684722846568,10.6642066212294,18.5728576106626,11.7647058888716,-3.01221166353322,16.2562954556645,26.9554753293922,15.4160435875055,9.36058909491074,8.82915569673241,8.73034178146676,9.32680833295323,16.952297454562,1.44269605986374,6.67082531517829,5.55676895061919,7.74948624520924,12.9857845637484,7.85864717951699,8.39794070627707,7.49468315744146,6.17565582696746,3.84581023205122,-3.94363428947102,7.26838641001544,13.7500496588259,5.81636693266742,-11.2231662144758,23.6057982839176,7.1234276596343,8.97981687178448,-8.15776321543765,6.83547135623688,8.57269912813135,2.36374748850361,6.96324663194412,7.80109480695134,3.97171570327362,6.57223606622583,7.05453901381581,8.66800624215867,7.29833574515027,-32.9088287752921,37.507870124321,13.8260895184139,4.72639189000989
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.359,50.519,51.592,52.632,51.105,54.676,55.621,56.421,57.296,58.09,58.916,59.749,60.517,61.31,62.132,62.847,63.578,64.304,65.007,65.739,66.511,67.476,68.702,69.225,69.572,70.088,70.876,72.181,73.291,74.06,73.538,74.751,75.13,75.686,76.543,77.069,77.657,78.124,78.682,79.057,79.424,79.695,79.872,79.943,80.013,80.116,79.875,79.918,80.839,..
Maldives,MDV,"Population, total",SP.POP.TOTL,138978,143158,147525,151930,156159,160360,164835,169532,174333,179128,184198,190169,196935,203944,210885,217738,224762,231802,238543,244884,250822,256649,262347,267707,272723,277412,282019,286767,291616,296491,301413,306429,313851,324479,336170,348275,360792,373674,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,669894029.624369,673311287.073382,713510051.522669,834722972.199873,1029040323.36704,1227446632.17561,1147027924.10804,1157769443.59463,1092923635.57767,1104956573.09802,1054564759.05328,1090611324.6814,1482601552.40192,1906174437.96762,2163252449.13108,2211312823.20576,2689212760.18576,2895354736.18332,3267677814.23984,3307302125.87528,3606050873.0139,4094741652.30048,4481489761.54368,4243755307.55239,4225813976.36359,4402193195.46945,4726108622.47661,4675755867.17657,4906494249.38255,5894873919.74797,6667418752.07307,6576108447.47531,7028810680.89077,8150150209.22501,9990356673.73497,9128843109.15588,10003670690.3497,11518413429.9684,11668696396.7887,12292974141.4044,13074129952.0532,12007291045.6489,12594155464.4136,13713506130.6081,14735695930.9727,14436346979.6355,11408106446.3144,11484348857.8529,12927979286.0453,14644524819.0054
Mauritius,MUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.81182619793313,0.906090279353336,23.7524440170883,6.54761905410257,3.83080608607303,3.51652574676662,-10.0612584967252,5.8823529013973,5.49707592772934,0.383795309593225,4.69838572777768,6.9544754614702,9.742033321316,8.89103982665314,6.79134674767192,4.46514860724652,7.18673677096029,4.43544626177179,6.51269858283499,5.0820629557426,4.13614286145543,4.28773657145238,5.58784392666244,5.68747741886635,6.07194017756214,2.61093234413026,8.20279174865273,3.34754072731407,1.61491865862433,5.92544548947731,4.33001985464357,1.77754302034454,4.8655446077553,5.72701615981669,5.38696254207251,3.31507699790781,4.37720322344293,4.07753806610333,3.49611836470866,3.36040609974133,3.82696982009337,3.69055690369433,3.8624682634,3.93798380632353,4.00674057198549,2.89128499346516,-14.5465381490166,3.40379866177662,8.87988519700977,6.95828740328457
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.643756097561,62.3558048780488,62.8667804878049,63.7620975609756,64.5939268292683,65.3064390243902,65.8164878048781,66.5479512195122,67.034756097561,67.2856341463415,67.3439024390244,67.4906341463415,67.7710487804878,68.0969756097561,68.3612195121951,68.95,69.4048780487805,69.9560975609756,70.0585365853659,70.1073170731707,70.1585365853659,70.3258536585366,70.3229268292683,70.4048780487805,70.6073170731707,70.9609756097561,71.6634146341463,71.7658536585366,71.9658536585366,72.1170731707317,72.2658536585366,72.4321951219512,72.4321951219512,72.5707317073171,72.5707317073171,72.8824390243903,72.9673170731707,73.2668292682927,73.8634146341464,74.0170731707317,74.1943902439024,74.3531707317073,74.3948780487805,74.5146341463415,74.4163414634146,74.2358536585366,74.1770731707317,73.680243902439,73.5146341463415,..
Mauritius,MUS,"Population, total",SP.POP.TOTL,878042,892000,906507,921379,933499,949888,966039,980462,992521,1001691,1012221,1020528,1028360,1036082,1043239,1051260,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,3574586466.16541,3791298145.50642,3591319857.31272,4104509582.86359,2733183856.50224,3364611432.24149,4024621899.57653,4415844155.84416,4768765016.81884,5167913302.16745,6043474842.76729,5978460972.01767,6405210563.88294,6682167119.56522,6978371581.26375,6987267683.77254,8032551173.24014,9000362581.58086,9703011635.86585,10338679635.7616,11717604208.8223,13029697560.9756,13897738375.2488,15091913883.7091,15794972847.1683,15656327859.5696,16330814179.9766,15749753804.8344,16536535647.0834,18881765437.2151,20662525941.2985,24405791044.7761,28279802405.9138,32350238760.4239,40713826215.0093,42066224093.0065,58636161081.712,67753284043.9282,70447216891.3366,77000578167.353,82528535713.926,85140955388.8509,88012282205.8357,94376237797.2367,94493871200.7869,89014978344.1404,84304298770.5329,88609324901.9774,74144870023.4244,84356863743.6335
Sri Lanka,LKA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.84583083633434,6.12623316072201,3.33510669179992,5.10059026388485,5.65383685776763,6.40355692592513,5.84602651617143,5.69952476661454,4.14149570229377,4.81399096956454,5.09914655789932,4.99940636872589,4.35554691657009,1.72561069291237,2.472685037698,2.29930141198645,6.39999531084838,4.59998724404535,4.39999125181939,6.90006325149474,5.59991872510166,5.5000852341585,3.79996720568178,6.40539969571286,4.69842304772052,4.30054049813373,6.00003315828934,-1.54540813366026,3.96467568513113,5.9402690780223,5.44506127885352,6.24174804376447,7.66829190107919,6.79682611892866,5.95008814473897,3.53891205317842,8.01596737040464,8.66948301160571,8.63218138024038,4.05174632926911,6.37797889289399,4.2059554759927,5.05362489256818,6.4606812707036,2.31008425192161,-0.220483886072614,-4.62451503662909,4.2074764951157,-7.34679123599076,-2.29801056186895
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.999,66.237,66.513,66.551,67.566,68.13,68.661,69.212,69.674,70.068,70.649,70.969,71.421,71.457,71.549,69.761,71.927,71.751,72.53,73.052,72.882,72.26,72.261,72.136,72.081,72.618,70.355,70.787,71.117,71.373,67.091,72.118,71.969,72.049,71.729,69.187,73.215,73.38,73.906,74.239,74.651,74.927,75.331,75.403,75.748,76.008,76.393,76.399,76.61,..
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,13305693,13548984,13796770,14049371,14310128,14579614,14847974,15099414,15286567,15388794,15441860,15544154,15731256,15916576,16078621,16248557,16352458,16475354,16739284,17025918,17275773,17564068,17905018,18248200,18596003,18944731,19293054,19600362,19805752,19951521,20087605,20216524,20352411,20492545,20629378,20756435,20879089,21009048,21169458,20585000,20778000,20970000,21209000,21444000,21670000,21803000,21919000,22156000,22181000,22037000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
